Location,Animal(s),Style
Lev 1:3-9,young bull without defect,"slaughter; splash its blood; skin it; cut it into pieces; arrange the head, fat, and internal organs on the altar and burn them"
Lev 1:10-13,male sheep or goat without defect,"slaughter; splash its blood; cut it into pieces; arrange the head, fat, and internal organs on the altar and burn them"
Lev 1:14-17,dove or young pigeon,wring off its head; burn it; drain its blood; remove the crop and feathers and throw them into the ashes; tear it open by the wings and burn it
Lev 3:1,,
Lev 3:6,,
Lev 3:12,,
Lev 4:3,,
Lev 4:13,,
Lev 4:23,,
Lev 4:28,,
Lev 4:32,,
Lev 5:6,,
Lev 5:7,,
Lev 5:15,,
Lev 5:18,,
Lev 6:6,,
Lev 6:25,,
Lev 7:1-6,,
Lev 7:8,,
Lev 7:14f,,
Lev 7:18f,,
Lev 7:22-29,,
Lev 9:2-4,,
Lev 10:16f,,
Lev 12:6-8,,
Lev 14:4-7,,
Lev 14:12-13,,
Lev 14:19,,
Lev 14:21-22,,
Lev 14:50,,
Lev 15:14,,
Lev 15:15,,
Lev 15:29,,
Lev 15:30,,
Lev 16:6,,
Lev 16:9,,
Lev 16:11,,
Lev 16:15,,
Lev 16:24,,
Lev 19:5,,
Lev 22:17-25,,
Lev 22:26-30,,
Lev 23:12,,
Lev 23:18,,
Lev 23:19,,
Lev 23:37,,
Num 7:12-88,,
Num 8:8,,
Num 15:3,,
Num 15:5,,
Num 15:6,,
Num 15:8,,
Num 15:24,,
Num 15:27,,
Num 18:17-19,,
Num 19:1-10,,
Num 23:2,,
Num 23:14,,
Num 23:30,,
Num 28:3,,
Num 28:7,,
Num 28:11,,
Num 28:15,,
Num 28:19,,
Num 28:22,,
Num 28:27,,
