location,quote
Gen 12:7,"The Lord said... ""To your offspring I will give this land [Canaan]."""
"Gen 13:14,15","""Look around from where you [Abraham] are... All the land that you see I will give to you and your offspring forever."
Gen 15:7,"""I am the Lord... to give you this land [Canaan]."""
Gen 15:18,"the Lord made a covenant with Abram and said, ""To your descendants I give this land, from the Wadi of Egypt to the great river, the Euphrates\ [#]_ — the land of the Kenites, Kenizzites, Kadmonites, Hittites, Perizzites, Rephaites, Amorites, Canaanites, Girgashites, and Jebusites."""
Gen 22:15-18,"""I [the Lord] swear... that because you have done this [obeyed me and tried to kill your son]... Your descendants will take possession of the cites of their enemies."""
"Gen 26:3,4","""For to you and descendants I will give all these lands and will confirm the oath I [the Lord] swore to your father Abraham. I will give them all these lands... because Abraham obeyed me [and tried to kill his son]."""
Gen 28:4,"[Isaac said,] ""May [God Almighty] give you and your descendants the blessing given to Abraham, so that you may take possession of the land where you now reside as a foreigner, the land God gave to Abraham."""
Gen 28:13,"""I am the Lord... I will give you and your descendants the land on which you are lying."""
Gen 35:12,"[God said to Jacob,] ""The land I gave to Abraham and Isaac I also give to you, and I will give this land to your descendants after you."""
"Gen 48:3,4","Jacob said to Joseph, ""God Almighty... said to me, 'I will give this land as an everlasting possession to your descendants after you.'"""
Num 10:29,"Moses said... ""We are setting out for the place about which the Lord said, 'I will give it to you.' Come with us and we will treat you well, for the Lord has promised good things to Israel."""
Num 13:2,"The Lord said to Moses, ""Send some men to explore the land of Canaan, which I am giving to the Israelites."""
Num 15:1-16,"The Lord said to Moses... ""After you enter the land I am giving you as a home, [sacrifice animals]... this is a lasting ordinance for the generations to come."""
Num 18:20,"The Lord said to Aaron, ""You will have no inheritance in [Israelite] land, nor will you have any share among them"""
Num 33:50-53,"the Lord said to Moses... ""drive out all the inhabitants of the land before you. Destroy [their iconography], and demolish [their places of worship]. Take possession of the land and settle in it, for I have given you the land to possess.""\ [#203]_"
to be continued...,
