location,quote
Gen 13:16,"""I [the Lord] will make your offspring like the dust of the earth, so that if anyone could count the dust, then your offspring could be counted."""
Gen 15:5,"[The Lord said,] ""Look up at the sky and count the stars... [s]o shall your offspring be."""
Gen 17:1-7,"the Lord appeared to [Abraham] and said... ""walk before me faithfully and be blameless. Then I will... greatly increase your numbers... I will make you very fruitful; I will make nations of you, and kings will come from you."""
Gen 17:20,"""I [the Lord] will surely bless [Ishmael]; I will make him fruitful and will greatly increase his numbers. He will be the father of twelve rulers, and I will make him into a great nation."""
Gen 22:15-18,"""I [the Lord] swear... that because you have done this [obeyed me and tried to kill your son]... I will surely bless you and make your descendants as numerous as the stars in the sky and as the sand on the seashore."""
Gen 26:4,"""I [the Lord] will make your descendants as numerous as the stars in the sky... because Abraham obeyed me [and tried to kill his son]."""
Gen 26:24,"the Lord appeared to [Isaac] and said... ""I will bless you and will increase the numbers of your descendants for the sake of my servant Abraham."""
Gen 28:3,"[Isaac said to Jacob,] ""May God Almighty bless you and make you fruitful and increase your numbers"""
"Gen 28:13,14","""I am the Lord... Your descendants will be like the dust of the earth, and you will spread out to the west and to the east, to the north and the south."""
Gen 32:12,"[Jacob prayed,] ""you [the Lord] have said, 'I will surely make you prosper and will make your descendants like the sand of the sea, which cannot be counted.'"""
Gen 35:11,"God said to [Jacob], ""I am God Almighty; be fruitful and increase in number."""
"Gen 48:3,4","Jacob said to Joseph, ""God Almighty... said to me, 'I am going to make you fruitful and increase your numbers.'"""
to be continued...,
